dataset	approach	fold	prefix_length	metric	value
Helpdesk	Tax	fold_1	6	Accuracy	0.2222222222222222
Helpdesk	Tax	fold_1	6	Recall	0.09523809523809523
Helpdesk	Tax	fold_1	6	Precision	0.1111111111111111
Helpdesk	Tax	fold_1	6	F1 - Score(macro)	0.10256410256410255
Helpdesk	Tax	fold_1	6	F1 - Score(micro)	0.2222222222222222
Helpdesk	Theis	fold_0	2	Accuracy	0.5107033639143731
Helpdesk	Theis	fold_0	2	Recall	0.11441853216073453
Helpdesk	Theis	fold_0	2	Precision	0.08627898287895396
Helpdesk	Theis	fold_0	2	F1 - Score(macro)	0.09776474995244812
Helpdesk	Theis	fold_0	2	F1 - Score(micro)	0.5107033639143731
Helpdesk	Theis	fold_0	3	Accuracy	0.46253602305475505
Helpdesk	Theis	fold_0	3	Recall	0.11334404445512908
Helpdesk	Theis	fold_0	3	Precision	0.10195232009369996
Helpdesk	Theis	fold_0	3	F1 - Score(macro)	0.1048079306520698
Helpdesk	Theis	fold_0	3	F1 - Score(micro)	0.46253602305475505
Helpdesk	Theis	fold_0	4	Accuracy	0.5125
Helpdesk	Theis	fold_0	4	Recall	0.13521031584404042
Helpdesk	Theis	fold_0	4	Precision	0.1199111514551356
Helpdesk	Theis	fold_0	4	F1 - Score(macro)	0.12676237420089878
Helpdesk	Theis	fold_0	4	F1 - Score(micro)	0.5125
Helpdesk	Theis	fold_0	5	Accuracy	0.5394736842105263
Helpdesk	Theis	fold_0	5	Recall	0.21422611597830624
Helpdesk	Theis	fold_0	5	Precision	0.1743321718931475
Helpdesk	Theis	fold_0	5	F1 - Score(macro)	0.18414918414918416
Helpdesk	Theis	fold_0	5	F1 - Score(micro)	0.5394736842105263
Helpdesk	Theis	fold_0	6	Accuracy	0.47619047619047616
Helpdesk	Theis	fold_0	6	Recall	0.2846153846153846
Helpdesk	Theis	fold_0	6	Precision	0.24318181818181817
Helpdesk	Theis	fold_0	6	F1 - Score(macro)	0.24592391304347822
Helpdesk	Theis	fold_0	6	F1 - Score(micro)	0.47619047619047616
Helpdesk	Theis	fold_0	7	Accuracy	0.6
Helpdesk	Theis	fold_0	7	Recall	0.25
Helpdesk	Theis	fold_0	7	Precision	0.1875
Helpdesk	Theis	fold_0	7	F1 - Score(macro)	0.21428571428571427
Helpdesk	Theis	fold_0	7	F1 - Score(micro)	0.6
Helpdesk	Theis	fold_1	2	Accuracy	0.5185670598514636
Helpdesk	Theis	fold_1	2	Recall	0.15179487470540898
Helpdesk	Theis	fold_1	2	Precision	0.11480436299784806
Helpdesk	Theis	fold_1	2	F1 - Score(macro)	0.13016410999390013
Helpdesk	Theis	fold_1	2	F1 - Score(micro)	0.5185670598514636
Helpdesk	Theis	fold_1	3	Accuracy	0.47539417104634496
Helpdesk	Theis	fold_1	3	Recall	0.13509022227772227
Helpdesk	Theis	fold_1	3	Precision	0.14564831564745406
Helpdesk	Theis	fold_1	3	F1 - Score(macro)	0.1267463354388238
Helpdesk	Theis	fold_1	3	F1 - Score(micro)	0.47539417104634496
Helpdesk	Theis	fold_1	4	Accuracy	0.49875311720698257
Helpdesk	Theis	fold_1	4	Recall	0.1603240466311006
Helpdesk	Theis	fold_1	4	Precision	0.13071481364164292
Helpdesk	Theis	fold_1	4	F1 - Score(macro)	0.14187613309032504
Helpdesk	Theis	fold_1	4	F1 - Score(micro)	0.49875311720698257
Helpdesk	Theis	fold_1	5	Accuracy	0.5068493150684932
Helpdesk	Theis	fold_1	5	Recall	0.23658536585365858
Helpdesk	Theis	fold_1	5	Precision	0.19283536585365854
Helpdesk	Theis	fold_1	5	F1 - Score(macro)	0.20858536585365856
Helpdesk	Theis	fold_1	5	F1 - Score(micro)	0.5068493150684932
Helpdesk	Theis	fold_1	6	Accuracy	0.5
Helpdesk	Theis	fold_1	6	Recall	0.2571428571428571
Helpdesk	Theis	fold_1	6	Precision	0.21666666666666665
Helpdesk	Theis	fold_1	6	F1 - Score(macro)	0.2283400809716599
Helpdesk	Theis	fold_1	6	F1 - Score(micro)	0.5
